Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"New York City, NY",2014,30,1128,,811,,232,,54,,15,,16,,41,,"New York City, NY
(40.71455220000047, -74.00711891899965)",
"Syracuse, NY",2014,30,63,,49,,8,,2,,1,,3,,5,,"Syracuse, NY
(43.0499922730005, -76.14738815999965)",
"Richmond, VA",2014,30,53,,30,,16,,5,,1,,1,,1,,"Richmond, VA
(37.540703789000474, -77.43364879599966)",
"Columbus, OH",2014,30,215,,144,,50,,13,,3,,5,,15,,"Columbus, OH
(39.961992230000476, -83.00274798399965)",
"Norfolk, VA",2014,30,61,,34,,13,,7,,3,,4,,6,,"Norfolk, VA
(36.84682012200045, -76.28505728799968)",
"Cincinnati, OH",2014,30,108,,62,,32,,4,,3,,7,,2,,"Cincinnati, OH
(39.1071305910005, -84.50412975199964)",
"Savannah, GA",2014,30,59,,37,,15,,4,,,-,3,,4,,"Savannah, GA
(32.08091366600047, -81.09118590699967)",
"Honolulu, HI",2014,30,64,,46,,10,,2,,4,,2,,6,,"Honolulu, HI
(21.304853205000427, -157.85774691599974)",
"Allentown, PA",2014,30,28,,22,,5,,,-,,-,1,,1,,"Allentown, PA
(40.602603640000495, -75.47025702899964)",
"Grand Rapids, MI",2014,30,56,,47,,4,,2,,,-,3,,5,,"Grand Rapids, MI
(42.96641270800046, -85.67117986599965)",
"Utica, NY",2014,30,15,,11,,2,,2,,,-,,-,1,,"Utica, NY
(43.09589091300046, -75.24257707799967)",
"Seattle, WA",2014,30,103,,60,,27,,9,,3,,4,,5,,"Seattle, WA
(47.60356894300048, -122.32944721899969)",
"St. Paul, MN",2014,30,65,,45,,18,,1,,,-,1,,2,,"St. Paul, MN
(44.94382372600046, -93.09331667699968)",
"Miami, FL",2014,30,69,,52,,12,,3,,2,,,-,6,,"Miami, FL
(25.774810115000435, -80.19772778299966)",
"Scranton, PA",2014,30,39,,33,,4,,2,,,-,,-,2,,"Scranton, PA
(41.41015086800047, -75.66077859599966)",
"Dayton, OH",2014,30,132,,103,,24,,5,,,-,,-,8,,"Dayton, OH
(39.759112821000485, -84.19443785699968)",
"Fort Worth, TX",2014,30,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.75095254800044, -97.33085951799967)",
"Lynn, MA",2014,30,4,,3,,1,,,-,,-,,-,,-,"Lynn, MA
(42.46370266800045, -70.95021669199963)",
"Atlanta, GA",2014,30,80,,47,,23,,7,,2,,1,,5,,"Atlanta, GA
(33.748311225000464, -84.39110931499965)",
"Gary, IN",2014,30,9,,4,,2,,,-,3,,,-,,-,"Gary, IN
(41.6037138850005, -87.33716612199964)",
"Fresno, CA",2014,30,142,,89,,31,,17,,3,,2,,9,,"Fresno, CA
(36.74068202600046, -119.78572815899969)",
"San Francisco, CA",2014,30,86,,60,,18,,4,,1,,3,,3,,"San Francisco, CA
(37.777123997000444, -122.4196366869997)",
"Lansing, MI",2014,30,48,,34,,11,,3,,,-,,-,1,,"Lansing, MI
(42.73194420800047, -84.55224806999968)",
"Chicago, IL",2014,30,251,,154,,67,,21,,6,,3,,3,,"Chicago, IL
(41.88425074000048, -87.63244574499964)",
"Glendale, CA",2014,30,20,,15,,3,,2,,,-,,-,1,,"Glendale, CA
(34.146330203000446, -118.24863950799971)",
"Jersey City, NJ",2014,30,14,,8,,2,,2,,2,,,-,1,,"Jersey City, NJ
(40.71748199500047, -74.04384854999967)",
"Los Angeles, CA",2014,30,258,,175,,55,,18,,6,,4,,29,,"Los Angeles, CA
(34.053492307000454, -118.24531669099969)",
"Duluth, MN",2014,30,24,,19,,4,,1,,,-,,-,2,,"Duluth, MN
(46.787955844000464, -92.09984801699966)",
"Toledo, OH",2014,30,100,,66,,28,,5,,1,,,-,5,,"Toledo, OH
(41.65381070900048, -83.53625660699964)",
"Jacksonville, FL",2014,30,166,,111,,39,,8,,4,,4,,10,,"Jacksonville, FL
(30.33147289700048, -81.65621662999968)",
"Lexington, KY",2014,30,66,,37,,23,,6,,,-,,-,1,,"Lexington, KY
(38.04859009900048, -84.50031565799964)",
"Knoxville, TN",2014,30,150,,92,,41,,12,,4,,1,,7,,"Knoxville, TN
(35.96049444300047, -83.92090839299965)",
"Kansas City, KS",2014,30,21,,16,,3,,2,,,-,,-,2,,"Kansas City, KS
(39.113521653000475, -94.6268190079997)",
"Sacramento, CA",2014,30,197,,138,,46,,10,,3,,,-,12,,"Sacramento, CA
(38.5793341750005, -121.49089596399972)",
"Cleveland, OH",2014,30,280,,180,,71,,16,,7,,6,,11,,"Cleveland, OH
(41.50475289400049, -81.69071765199965)",
"Pueblo, CO",2014,30,29,,24,,4,,,-,1,,,-,1,,"Pueblo, CO
(38.263863080000476, -104.61236614299969)",
"Des Moines, IA",2014,30,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.589761626000495, -93.61564652299967)",
"Erie, PA",2014,30,43,,28,,8,,3,,1,,3,,2,,"Erie, PA
(42.12944247200045, -80.08523881899964)",
"Milwaukee, WI",2014,30,69,,41,,21,,5,,1,,1,,2,,"Milwaukee, WI
(43.04181028200048, -87.90683717599967)",
"Fall River, MA",2014,30,30,,24,,6,,,-,,-,,-,3,,"Fall River, MA
(41.69735122300045, -71.14364572399967)",
"Hartford, CT",2014,30,52,,33,,13,,5,,1,,,-,4,,"Hartford, CT
(41.76349046400048, -72.67401728199962)",
New England,2014,31,510,,333,,128,,27,,10,,12,,37,,,
"Boston, MA",2014,31,143,,86,,35,,10,,4,,8,,12,,"Boston, MA
",
"Bridgeport, CT",2014,31,22,,14,,7,,1,,,-,,-,,-,"Bridgeport, CT
",
"Cambridge, MA",2014,31,8,,8,,,-,,-,,-,,-,1,,"Cambridge, MA
",
"Fall River, MA",2014,31,22,,17,,5,,,-,,-,,-,,-,"Fall River, MA
",
"Hartford, CT",2014,31,41,,25,,11,,4,,,-,1,,2,,"Hartford, CT
",
"Lowell, MA",2014,31,19,,16,,3,,,-,,-,,-,2,,"Lowell, MA
",
"Lynn, MA",2014,31,4,,4,,,-,,-,,-,,-,,-,"Lynn, MA
",
"New Bedford, MA",2014,31,24,,22,,2,,,-,,-,,-,,-,"New Bedford, MA
",
"New Haven, CT",2014,31,34,,18,,11,,2,,2,,1,,5,,"New Haven, CT
",
"Providence, RI",2014,31,56,,34,,17,,2,,2,,1,,1,,"Providence, RI
",
"Somerville, MA",2014,31,4,,2,,2,,,-,,-,,-,,-,"Somerville, MA
",
"Springfield, MA",2014,31,43,,27,,10,,4,,2,,,-,1,,"Springfield, MA
",
"Waterbury, CT",2014,31,28,,20,,8,,,-,,-,,-,3,,"Waterbury, CT
",
"Worcester, MA",2014,31,62,,40,,17,,4,,,-,1,,10,,"Worcester, MA
",
Mid. Atlantic,2014,31,1645,,1158,,366,,86,,25,,10,,68,,,
"Albany, NY",2014,31,32,,22,,8,,1,,,-,1,,1,,"Albany, NY
",
"Allentown, PA",2014,31,29,,18,,9,,1,,1,,,-,3,,"Allentown, PA
",
"Buffalo, NY",2014,31,90,,53,,26,,11,,,-,,-,10,,"Buffalo, NY
",
"Camden, NJ",2014,31,21,,13,,5,,2,,1,,,-,,-,"Camden, NJ
",
"Elizabeth, NJ",2014,31,17,,10,,4,,3,,,-,,-,2,,"Elizabeth, NJ
",
"Erie, PA",2014,31,43,,38,,3,,1,,1,,,-,2,,"Erie, PA
",
"Jersey City, NJ",2014,31,17,,11,,4,,1,,,-,1,,1,,"Jersey City, NJ
",
"New York City, NY",2014,31,919,,662,,190,,46,,17,,4,,27,,"New York City, NY
",
"Newark, NJ",2014,31,42,,23,,11,,6,,1,,1,,2,,"Newark, NJ
",
"Paterson, NJ",2014,31,15,,9,,6,,,-,,-,,-,1,,"Paterson, NJ
",
"Philadelphia, PA",2014,31,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
",
"Pittsburgh, PA§",2014,31,40,,26,,13,,,-,1,,,-,1,,"Pittsburgh, PA
",
"Reading, PA",2014,31,35,,26,,8,,1,,,-,,-,2,,"Reading, PA
",
"Rochester, NY",2014,31,143,,108,,30,,2,,1,,2,,5,,"Rochester, NY
",
"Schenectady, NY",2014,31,19,,15,,4,,,-,,-,,-,,-,"Schenectady, NY
",
"Scranton, PA",2014,31,34,,18,,10,,4,,1,,1,,3,,"Scranton, PA
",
"Syracuse, NY",2014,31,76,,56,,15,,5,,,-,,-,6,,"Syracuse, NY
",
"Trenton, NJ",2014,31,35,,19,,14,,1,,1,,,-,,-,"Trenton, NJ
",
"Utica, NY",2014,31,17,,14,,2,,1,,,-,,-,2,,"Utica, NY
",
"Yonkers, NY",2014,31,21,,17,,4,,,-,,-,,-,,-,"Yonkers, NY
",
E.N. Central,2014,31,1782,,1157,,441,,108,,37,,39,,113,,,
"Akron, OH",2014,31,54,,30,,13,,7,,2,,2,,1,,"Akron, OH
",
"Canton, OH",2014,31,31,,21,,7,,1,,,-,2,,1,,"Canton, OH
",
"Chicago, IL",2014,31,249,,158,,61,,19,,8,,3,,10,,"Chicago, IL
",
"Cincinnati, OH",2014,31,69,,40,,20,,5,,1,,3,,,-,"Cincinnati, OH
",
"Cleveland, OH",2014,31,255,,173,,59,,13,,3,,7,,14,,"Cleveland, OH
",
"Columbus, OH",2014,31,,U,,U,,U,,U,,U,,U,,U,"Columbus, OH
",
"Dayton, OH",2014,31,125,,82,,31,,9,,2,,1,,10,,"Dayton, OH
",
"Detroit, MI",2014,31,138,,76,,39,,9,,11,,3,,14,,"Detroit, MI
",
"Evansville, IN",2014,31,43,,26,,11,,6,,,-,,-,6,,"Evansville, IN
",
"Fort Wayne, IN",2014,31,72,,48,,19,,4,,,-,1,,3,,"Fort Wayne, IN
",
"Gary, IN",2014,31,8,,5,,1,,,-,1,,1,,1,,"Gary, IN
",
"Grand Rapids, MI",2014,31,64,,46,,12,,2,,1,,3,,6,,"Grand Rapids, MI
",
"Indianapolis, IN",2014,31,218,,133,,64,,14,,2,,5,,12,,"Indianapolis, IN
",
"Lansing, MI",2014,31,54,,35,,12,,3,,2,,2,,2,,"Lansing, MI
",
"Milwaukee, WI",2014,31,52,,32,,12,,6,,,-,2,,4,,"Milwaukee, WI
",
"Peoria, IL",2014,31,65,,50,,13,,1,,1,,,-,8,,"Peoria, IL
",
"Rockford, IL",2014,31,62,,40,,19,,2,,,-,1,,6,,"Rockford, IL
",
"South Bend, IN",2014,31,57,,38,,15,,2,,,-,2,,,-,"South Bend, IN
",
"Toledo, OH",2014,31,87,,63,,20,,3,,1,,,-,8,,"Toledo, OH
",
"Youngstown, OH",2014,31,79,,61,,13,,2,,2,,1,,7,,"Youngstown, OH
",
W.N. Central,2014,31,605,,386,,152,,33,,18,,16,,32,,,
"Kansas City, KS",2014,31,20,,14,,3,,1,,,-,2,,1,,"Kansas City, KS
",
"Kansas City, MO",2014,31,133,,79,,37,,8,,4,,5,,8,,"Kansas City, MO
",
"Lincoln, NC",2014,31,44,,29,,12,,3,,,-,,-,2,,"Lincoln, NC
",
"Minneapolis, MN",2014,31,68,,40,,21,,1,,4,,2,,5,,"Minneapolis, MN
",
"Omaha, NE",2014,31,71,,54,,16,,1,,,-,,-,3,,"Omaha, NE
",
"St. Louis, MO",2014,31,95,,49,,20,,14,,7,,5,,8,,"St. Louis, MO
",
"St. Paul, MN",2014,31,60,,40,,19,,1,,,-,,-,1,,"St. Paul, MN
",
"Wichita, KS",2014,31,88,,62,,18,,4,,2,,2,,4,,"Wichita, KS
",
S. Atlantic,2014,31,1078,,703,,282,,58,,19,,16,,45,,,
"Atlanta, GA",2014,31,160,,101,,38,,14,,6,,1,,9,,"Atlanta, GA
",
"Baltimore, MD",2014,31,147,,98,,38,,5,,2,,4,,8,,"Baltimore, MD
",
"Charlotte, NC",2014,31,124,,76,,35,,6,,3,,4,,1,,"Charlotte, NC
",
"Jacksonville, FL",2014,31,159,,122,,29,,5,,1,,2,,7,,"Jacksonville, FL
",
"Miami, FL",2014,31,58,,41,,12,,2,,3,,,-,,-,"Miami, FL
",
"Norfolk, VA",2014,31,51,,30,,14,,6,,,-,1,,3,,"Norfolk, VA
",
"Richmond, VA",2014,31,48,,29,,16,,3,,,-,,-,2,,"Richmond, VA
",
"Savannah, GA",2014,31,56,,37,,14,,5,,,-,,-,1,,"Savannah, GA
",
"St. Petersburg, FL",2014,31,56,,29,,26,,1,,,-,,-,6,,"St. Petersburg, FL
",
"Tampa, FL",2014,31,114,,77,,27,,7,,3,,,-,6,,"Tampa, FL
",
"Washington, D.C.",2014,31,98,,59,,31,,4,,,-,4,,2,,"Washington, D.C.
",
"Wilmington, DE",2014,31,7,,4,,2,,,-,1,,,-,,-,"Wilmington, DE
",
E.S. Central,2014,31,959,,627,,242,,55,,19,,16,,69,,,
"Birmingham, AL",2014,31,169,,102,,48,,10,,4,,5,,11,,"Birmingham, AL
",
"Chattanooga, TN",2014,31,104,,70,,28,,3,,1,,2,,8,,"Chattanooga, TN
",
"Knoxville, TN",2014,31,108,,80,,18,,8,,2,,,-,14,,"Knoxville, TN
",
"Lexington, KY",2014,31,77,,53,,16,,3,,2,,3,,,-,"Lexington, KY
",
"Memphis, TN",2014,31,153,,103,,36,,12,,2,,,-,13,,"Memphis, TN
",
"Mobile, AL",2014,31,88,,63,,22,,1,,2,,,-,6,,"Mobile, AL
",
"Montgomery, AL",2014,31,60,,43,,11,,3,,3,,,-,2,,"Montgomery, AL
",
"Nashville, TN",2014,31,200,,113,,63,,15,,3,,6,,15,,"Nashville, TN
",
W.S. Central,2014,31,1463,,954,,378,,67,,37,,26,,82,,,
"Austin, TX",2014,31,92,,54,,33,,3,,1,,1,,3,,"Austin, TX
",
"Baton Rouge, LA",2014,31,96,,55,,29,,4,,2,,6,,10,,"Baton Rouge, LA
",
"Corpus Christi, TX",2014,31,65,,39,,20,,6,,,-,,-,5,,"Corpus Christi, TX
",
"Dallas, TX",2014,31,211,,121,,62,,14,,9,,5,,7,,"Dallas, TX
",
"El Paso, TX",2014,31,97,,73,,22,,2,,,-,,-,4,,"El Paso, TX
",
"Fort Worth, TX",2014,31,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
",
"Houston, TX",2014,31,355,,244,,79,,19,,10,,2,,18,,"Houston, TX
",
"Little Rock, AR",2014,31,79,,57,,15,,,-,4,,3,,5,,"Little Rock, AR
",
"New Orleans, LA",2014,31,42,,27,,10,,3,,1,,1,,,-,"New Orleans, LA
",
"San Antonio, TX",2014,31,284,,188,,69,,13,,6,,8,,14,,"San Antonio, TX
",
"Shreveport, LA",2014,31,53,,37,,13,,1,,2,,,-,6,,"Shreveport, LA
",
"Tulsa, OK",2014,31,89,,59,,26,,2,,2,,,-,10,,"Tulsa, OK
",
Mountain,2014,31,1170,,794,,247,,88,,25,,15,,63,,,
"Albuquerque, NM",2014,31,143,,99,,24,,13,,4,,2,,11,,"Albuquerque, NM
",
"Boise, ID",2014,31,48,,37,,10,,,-,1,,,-,3,,"Boise, ID
",
"Colorado Springs, CO",2014,31,64,,41,,15,,4,,3,,1,,2,,"Colorado Springs, CO
",
"Denver, CO",2014,31,92,,59,,24,,5,,1,,3,,3,,"Denver, CO
",
"Las Vegas, NV",2014,31,310,,204,,70,,26,,8,,2,,15,,"Las Vegas, NV
",
"Ogden, UT",2014,31,43,,35,,5,,1,,2,,,-,7,,"Ogden, UT
",
"Phoenix, AZ",2014,31,170,,105,,44,,13,,4,,4,,7,,"Phoenix, AZ
",
"Pueblo, CO",2014,31,32,,21,,5,,5,,1,,,-,,-,"Pueblo, CO
",
"Salt Lake City, UT",2014,31,134,,82,,31,,18,,1,,2,,13,,"Salt Lake City, UT
",
"Tucson, AZ",2014,31,134,,111,,19,,3,,,-,1,,2,,"Tucson, AZ
",
Pacific,2014,31,1722,,1214,,354,,93,,31,,30,,129,,,
"Berkeley, CA",2014,31,13,,10,,1,,2,,,-,,-,,-,"Berkeley, CA
",
"Fresno, CA",2014,31,121,,88,,23,,8,,1,,1,,5,,"Fresno, CA
",
"Glendale, CA",2014,31,39,,31,,7,,,-,,-,1,,7,,"Glendale, CA
",
"Honolulu, HI",2014,31,70,,49,,16,,3,,,-,2,,7,,"Honolulu, HI
",
"Long Beach, CA",2014,31,64,,37,,15,,8,,1,,3,,6,,"Long Beach, CA
",
"Los Angeles, CA",2014,31,252,,179,,48,,13,,7,,5,,31,,"Los Angeles, CA
",
"Pasadena, CA",2014,31,29,,23,,3,,1,,,-,2,,1,,"Pasadena, CA
",
"Portland, OR",2014,31,129,,90,,24,,9,,5,,1,,6,,"Portland, OR
",
"Sacramento, CA",2014,31,216,,156,,43,,11,,3,,3,,9,,"Sacramento, CA
",
"San Diego, CA",2014,31,155,,113,,36,,6,,,-,,-,11,,"San Diego, CA
",
"San Francisco, CA",2014,31,117,,75,,30,,8,,2,,2,,14,,"San Francisco, CA
",
"San Jose, CA",2014,31,208,,165,,29,,8,,1,,5,,17,,"San Jose, CA
",
"Seattle, WA",2014,31,84,,56,,18,,3,,4,,3,,2,,"Seattle, WA
",
"Spokane, WA",2014,31,65,,39,,17,,6,,1,,2,,2,,"Spokane, WA
",
"Tacoma, WA",2014,31,130,,81,,38,,5,,6,,,-,7,,"Tacoma, WA
",
Total¶,2014,31,10934,,7326,,2590,,615,,221,,180,,638,,,
"Santa Cruz, CA",2014,31,30,,22,,6,,2,,,-,,-,4,,"Santa Cruz, CA
",
New England,2014,32,489,,329,,116,,22,,10,,12,,33,,,
Mid. Atlantic,2014,32,1589,,1138,,314,,100,,20,,17,,58,,,
E.N. Central,2014,32,1982,,1312,,485,,97,,44,,44,,115,,,
W.N. Central,2014,32,584,,351,,172,,33,,12,,15,,22,,,
S. Atlantic,2014,32,923,,562,,250,,62,,25,,24,,62,,,
E.S. Central,2014,32,1027,,650,,294,,46,,24,,13,,69,,,
W.S. Central,2014,32,1457,,900,,392,,98,,39,,28,,67,,,
Mountain,2014,32,1219,,800,,274,,96,,19,,29,,45,,,
Pacific,2014,32,1625,,1155,,328,,88,,31,,23,,100,,,
Total¶,2014,32,10895,,7197,,2625,,642,,224,,205,,571,,,
"Phoenix, AZ",2014,32,201,,117,,53,,16,,6,,9,,6,,"Phoenix, AZ
(33.44825282000045, -112.07579699399969)",
"Allentown, PA",2014,32,34,,20,,14,,,-,,-,,-,1,,"Allentown, PA
(40.602603640000495, -75.47025702899964)",
"Fresno, CA",2014,32,110,,88,,14,,1,,4,,3,,7,,"Fresno, CA
(36.74068202600046, -119.78572815899969)",
"Chattanooga, TN",2014,32,89,,54,,28,,1,,3,,3,,6,,"Chattanooga, TN
(35.04644289300046, -85.30945730199966)",
"Omaha, NE",2014,32,87,,52,,23,,10,,2,,,-,5,,"Omaha, NE
(41.260691100000486, -95.94058667399969)",
"Fort Worth, TX",2014,32,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.75095254800044, -97.33085951799967)",
"San Francisco, CA",2014,32,102,,78,,19,,3,,,-,2,,5,,"San Francisco, CA
(37.777123997000444, -122.4196366869997)",
"Newark, NJ",2014,32,57,,25,,20,,9,,,-,3,,2,,"Newark, NJ
(40.73197019100047, -74.17420658799966)",
"Birmingham, AL",2014,32,214,,141,,54,,10,,3,,6,,15,,"Birmingham, AL
(33.52068040300048, -86.81175909799964)",
"Fort Wayne, IN",2014,32,74,,51,,19,,2,,2,,,-,4,,"Fort Wayne, IN
(41.080263035000485, -85.13830990099967)",
"Tulsa, OK",2014,32,118,,84,,27,,6,,1,,,-,8,,"Tulsa, OK
(36.149743157000444, -95.99332745899966)",
"Somerville, MA",2014,32,3,,2,,1,,,-,,-,,-,,-,"Somerville, MA
(42.386683880000476, -71.09825622299962)",
"Wilmington, DE",2014,32,12,,7,,5,,,-,,-,,-,,-,"Wilmington, DE
(39.740234398000496, -75.55083980499967)",
"Pittsburgh, PA§",2014,32,44,,32,,7,,2,,2,,1,,1,,"Pittsburgh, PA
(40.438343044000476, -79.99746553899968)",
"Nashville, TN",2014,32,151,,91,,48,,9,,2,,1,,4,,"Nashville, TN
(36.16784000400048, -86.77815577199965)",
"Spokane, WA",2014,32,62,,49,,9,,2,,,-,2,,1,,"Spokane, WA
(47.65725655300048, -117.41227666799972)",
"Cambridge, MA",2014,32,13,,10,,3,,,-,,-,,-,1,,"Cambridge, MA
(42.366791640000486, -71.10600946299962)",
"El Paso, TX",2014,32,109,,79,,20,,6,,2,,2,,4,,"El Paso, TX
(31.75916316000047, -106.4874888869997)",
"Rochester, NY",2014,32,128,,105,,18,,5,,,-,,-,3,,"Rochester, NY
(43.155804340000486, -77.61631886899966)",
"Youngstown, OH",2014,32,79,,61,,13,,2,,2,,1,,6,,"Youngstown, OH
(41.09810084600048, -80.65078761499967)",
"Indianapolis, IN",2014,32,213,,129,,66,,9,,1,,8,,14,,"Indianapolis, IN
(39.76691072200049, -86.14995579899966)",
"Elizabeth, NJ",2014,32,19,,15,,4,,,-,,-,,-,,-,"Elizabeth, NJ
(40.6638122490005, -74.21143642799967)",
"Evansville, IN",2014,32,47,,28,,15,,2,,2,,,-,3,,"Evansville, IN
(37.977082544000496, -87.56404663099966)",
"Montgomery, AL",2014,32,69,,48,,16,,3,,2,,,-,3,,"Montgomery, AL
(32.38012350200046, -86.30062589499965)",
"Shreveport, LA",2014,32,57,,36,,18,,1,,1,,1,,3,,"Shreveport, LA
(32.514612729000476, -93.74726848099965)",
"Rockford, IL",2014,32,61,,43,,12,,4,,1,,1,,3,,"Rockford, IL
(42.2669016910005, -89.07834897499964)",
"New York City, NY",2014,32,890,,630,,186,,55,,9,,10,,26,,"New York City, NY
(40.71455220000047, -74.00711891899965)",
"Cincinnati, OH",2014,32,74,,50,,10,,3,,5,,6,,1,,"Cincinnati, OH
(39.1071305910005, -84.50412975199964)",
"Paterson, NJ",2014,32,19,,13,,5,,1,,,-,,-,,-,"Paterson, NJ
(40.91661430200048, -74.17163854999967)",
"Knoxville, TN",2014,32,101,,64,,30,,3,,4,,,-,11,,"Knoxville, TN
(35.96049444300047, -83.92090839299965)",
"Las Vegas, NV",2014,32,278,,182,,66,,26,,2,,2,,11,,"Las Vegas, NV
(36.17191313400048, -115.13996564999968)",
"Sacramento, CA",2014,32,196,,138,,44,,8,,3,,3,,12,,"Sacramento, CA
(38.5793341750005, -121.49089596399972)",
"Bridgeport, CT",2014,32,30,,17,,11,,,-,1,,1,,2,,"Bridgeport, CT
(41.1818813860005, -73.19126911399962)",
"Milwaukee, WI",2014,32,80,,50,,20,,4,,4,,2,,7,,"Milwaukee, WI
(43.04181028200048, -87.90683717599967)",
"Santa Cruz, CA",2014,32,27,,21,,5,,1,,,-,,-,1,,"Santa Cruz, CA
(36.974020590000464, -122.03094750099973)",
"South Bend, IN",2014,32,45,,33,,7,,1,,3,,1,,4,,"South Bend, IN
(41.67905339900045, -86.25403946499966)",
"St. Petersburg, FL",2014,32,40,,26,,10,,3,,,-,1,,1,,"St. Petersburg, FL
(27.771193346000473, -82.63875661699967)",
"Portland, OR",2014,32,125,,86,,28,,10,,1,,,-,4,,"Portland, OR
(45.51178871100046, -122.6756275729997)",
"New Orleans, LA",2014,32,58,,26,,14,,12,,6,,,-,3,,"New Orleans, LA
(29.95370345100048, -90.07774868499968)",
"San Diego, CA",2014,32,167,,115,,38,,8,,3,,3,,10,,"San Diego, CA
(32.71569228000044, -117.16171662299968)",
"Berkeley, CA",2014,32,5,,4,,1,,,-,,-,,-,,-,"Berkeley, CA
(37.86988150300044, -122.2705386769997)",
"Kansas City, MO",2014,32,108,,68,,29,,6,,4,,1,,3,,"Kansas City, MO
(39.1029502720005, -94.5830775179997)",
"Gary, IN",2014,32,12,,4,,3,,4,,1,,,-,1,,"Gary, IN
(41.6037138850005, -87.33716612199964)",
"San Jose, CA",2014,32,194,,147,,30,,9,,6,,2,,10,,"San Jose, CA
(37.33858362500047, -121.8855697949997)",
"Lexington, KY",2014,32,75,,46,,25,,1,,3,,,-,1,,"Lexington, KY
(38.04859009900048, -84.50031565799964)",
"New Bedford, MA",2014,32,26,,20,,6,,,-,,-,,-,1,,"New Bedford, MA
(41.637670036000486, -70.93086932199964)",
"Tucson, AZ",2014,32,157,,121,,25,,10,,,-,1,,2,,"Tucson, AZ
(32.22155278400044, -110.96975897999971)",
"Honolulu, HI",2014,32,60,,44,,8,,6,,1,,1,,9,,"Honolulu, HI
(21.304853205000427, -157.85774691599974)",
"Springfield, MA",2014,32,29,,19,,7,,1,,1,,1,,1,,"Springfield, MA
(42.10125212200046, -72.58928991799962)",
"Corpus Christi, TX",2014,32,42,,27,,11,,3,,1,,,-,3,,"Corpus Christi, TX
(27.796413705000475, -97.40355953599965)",
"Erie, PA",2014,32,51,,44,,4,,2,,1,,,-,1,,"Erie, PA
(42.12944247200045, -80.08523881899964)",
"Boston, MA",2014,32,128,,80,,32,,5,,3,,8,,9,,"Boston, MA
(42.35866324500046, -71.05673887699965)",
"Jacksonville, FL",2014,32,84,,57,,21,,2,,,-,4,,4,,"Jacksonville, FL
(30.33147289700048, -81.65621662999968)",
"Albuquerque, NM",2014,32,123,,79,,31,,8,,1,,3,,8,,"Albuquerque, NM
(35.08423100300047, -106.64904746099967)",
"Toledo, OH",2014,32,95,,65,,24,,1,,3,,2,,3,,"Toledo, OH
(41.65381070900048, -83.53625660699964)",
"Tacoma, WA",2014,32,103,,74,,24,,4,,1,,,-,9,,"Tacoma, WA
(47.255128716000456, -122.44163694999969)",
"Richmond, VA",2014,32,57,,33,,21,,2,,1,,,-,3,,"Richmond, VA
(37.540703789000474, -77.43364879599966)",
"St. Louis, MO",2014,32,88,,46,,31,,2,,2,,6,,4,,"St. Louis, MO
(38.6277517260005, -90.19955850799965)",
"Syracuse, NY",2014,32,82,,62,,12,,4,,3,,1,,6,,"Syracuse, NY
(43.0499922730005, -76.14738815999965)",
"Yonkers, NY",2014,32,10,,7,,2,,1,,,-,,-,1,,"Yonkers, NY
(40.93299168200048, -73.89873881399967)",
"Worcester, MA",2014,32,47,,27,,17,,2,,,-,1,,5,,"Worcester, MA
(42.2634136260005, -71.80218873199965)",
"Albany, NY",2014,32,39,,27,,9,,2,,1,,,-,3,,"Albany, NY
(42.65155347600046, -73.75520562899965)",
"Ogden, UT",2014,32,42,,31,,7,,1,,,-,3,,4,,"Ogden, UT
(41.222362586000486, -111.97047620299969)",
"Chicago, IL",2014,32,248,,155,,71,,15,,3,,4,,13,,"Chicago, IL
(41.88425074000048, -87.63244574499964)",
"Kansas City, KS",2014,32,28,,20,,6,,1,,1,,,-,,-,"Kansas City, KS
(39.113521653000475, -94.6268190079997)",
"St. Paul, MN",2014,32,51,,36,,13,,1,,,-,1,,4,,"St. Paul, MN
(44.94382372600046, -93.09331667699968)",
"Lowell, MA",2014,32,18,,14,,4,,,-,,-,,-,4,,"Lowell, MA
(42.64588146300048, -71.31283694999962)",
"Lynn, MA",2014,32,9,,4,,3,,2,,,-,,-,,-,"Lynn, MA
(42.46370266800045, -70.95021669199963)",
"Wichita, KS",2014,32,90,,48,,37,,3,,1,,1,,3,,"Wichita, KS
(37.686983657000496, -97.33557577399966)",
"Baton Rouge, LA",2014,32,75,,46,,19,,3,,4,,3,,1,,"Baton Rouge, LA
(30.44334106600047, -91.18698893099969)",
"Canton, OH",2014,32,27,,20,,5,,1,,1,,,-,6,,"Canton, OH
(40.79781020000047, -81.37156644799967)",
